,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
189,190,Shawn Mendes,There's Nothing Holdin' Me Back,Island Records,5,5645531,5831097,5737857,5956420,144,190,190,190,54
190,191,Luciano,Beautiful Girl,URBAN,59,5640896,NaN,5737745,5947254,116,NaN,191,191,35
191,192,Jessi,ZOOM,P NATION,89,5635693,5790561,5708623,NaN,NaN,192,192,NaN,NaN
192,193,Hozier,Take Me To Church,Universal-Island Records Ltd.,108,5609284,5789663,5706710,5928484,9,193,NaN,193,41
193,194,Surf Curse,Freaks,Surf Curse,55,5582752,5775433,5692856,NaN,NaN,194,194,NaN,NaN
194,195,Olivia Rodrigo,"jealousy, jealousy",Olivia Rodrigo PS,17,5575458,5772239,5680456,5854271,45,195,195,195,31
195,196,"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,Parlophone UK,178,5568564,5765943,5672492,5850195,4,196,196,196,275
196,197,Tones And I,Dance Monkey,Elektra (NEK),1,5556591,5751320,5625333,5843755,63,197,197,197,25
197,198,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,11,5552673,5750508,5609601,5823369,99,198,NaN,198,89
198,199,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,WEA Latina,48,5552315,5745070,5606060,5783014,12,199,199,199,57
199,200,Shawn Mendes,When You're Gone,Shawn Mendes LP4-5 PS/ Island,21,5548718,5739641,5575996,5776958,40,200,200,200,7
